"URI"	"scientificName"	"is_current"
"http://florabase.dec.wa.gov.au/browse/profile/153"	"Triglochin turriferum Ewart"	"N"
"http://florabase.dec.wa.gov.au/browse/profile/154"	"Alisma lanceolatum With."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/155"	"Caldesia oligococca (F.Muell.) Buchenau"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/156"	"Damasonium minus (R.Br.) Buchenau"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/157"	"Blyxa aubertii Rich."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/158"	"Blyxa octandra Thwaites"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/159"	"Egeria densa Planch."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/160"	"Enhalus acoroides (L.f.) Royle"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/161"	"Halophila australis Doty & B.C.Stone"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/162"	"Halophila decipiens Ostenf."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/163"	"Halophila minor (Zoll.) Hartog"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/164"	"Halophila ovalis (R.Br.) Hook.f."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/165"	"Halophila spinulosa (R.Br.) Asch."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/166"	"Hydrilla verticillata (L.f.) Royle"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/167"	"Maidenia rubra Rendle"	"N"
"http://florabase.dec.wa.gov.au/browse/profile/168"	"Ottelia ovalifolia (R.Br.) Rich."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/169"	"Thalassia hemprichii (Ehrenb.) Asch."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/170"	"Vallisneria caulescens F.M.Bailey & F.Muell."	"N"
"http://florabase.dec.wa.gov.au/browse/profile/171"	"Vallisneria spiralis L."	"N"
"http://florabase.dec.wa.gov.au/browse/profile/172"	"Acrachne racemosa (B.Heyne) Ohwi"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/173"	"Agropyron distichum (Thunb.) P.Beauv."	"N"
"http://florabase.dec.wa.gov.au/browse/profile/174"	"Agropyron repens (L.) P.Beauv."	"N"
"http://florabase.dec.wa.gov.au/browse/profile/175"	"Agrostis aemula R.Br."	"N"
"http://florabase.dec.wa.gov.au/browse/profile/176"	"Agrostis avenacea J.F.Gmel."	"N"
"http://florabase.dec.wa.gov.au/browse/profile/177"	"Agrostis capillaris L."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/178"	"Agrostis drummondiana (Steud.) Vickery"	"N"
"http://florabase.dec.wa.gov.au/browse/profile/179"	"Agrostis gigantea Roth"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/180"	"Agrostis plebeia R.Br."	"N"
"http://florabase.dec.wa.gov.au/browse/profile/181"	"Agrostis preissii (Nees) Vickery"	"N"
"http://florabase.dec.wa.gov.au/browse/profile/182"	"Agrostis stolonifera L."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/183"	"Agrostis venusta Trin."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/184"	"Aira caryophyllea L."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/185"	"Aira cupaniana Guss."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/186"	"Aira elegantissima Schur"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/187"	"Aira praecox L."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/188"	"Alloteropsis semialata (R.Br.) Hitchc."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/189"	"Alopecurus geniculatus L."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/190"	"Alopecurus myosuroides Huds."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/191"	"Alopecurus pratensis L."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/192"	"Ammophila arenaria (L.) Link"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/193"	"Amphibromus neesii Steud."	"N"
"http://florabase.dec.wa.gov.au/browse/profile/194"	"Amphipogon amphipogonoides (Steud.) Vickery"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/195"	"Amphipogon avenaceus R.Br."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/196"	"Amphipogon caricinus F.Muell."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/197"	"Amphipogon debilis R.Br."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/198"	"Amphipogon laguroides R.Br."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/199"	"Amphipogon strictus R.Br."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/200"	"Amphipogon turbinatus R.Br."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/201"	"Andropogon distachyos L."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/202"	"Anthoxanthum odoratum L."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/203"	"Aristida anthoxanthoides (Domin) Henrard"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/204"	"Aristida burbidgeae B.K.Simon"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/205"	"Aristida calycina R.Br."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/206"	"Aristida capillifolia Henrard"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/207"	"Aristida contorta F.Muell."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/208"	"Aristida dominii B.K.Simon"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/209"	"Aristida exserta S.T.Blake"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/210"	"Aristida holathera Domin"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/211"	"Aristida hygrometrica R.Br."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/212"	"Aristida inaequiglumis Domin"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/213"	"Aristida ingrata Domin"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/214"	"Aristida kimberleyensis B.K.Simon"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/215"	"Aristida latifolia Domin"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/216"	"Aristida lazaridis B.K.Simon"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/217"	"Aristida nitidula (Henrard) J.M.Black"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/218"	"Aristida obscura Henrard"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/219"	"Aristida perniciosa Domin"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/220"	"Aristida polyclados Domin"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/221"	"Aristida pruinosa Domin"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/222"	"Aristida ramosa R.Br."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/223"	"Aristida strigosa (Henrard) J.M.Black"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/224"	"Arrhenatherum bulbosum (Willd.) C.Presl"	"N"
"http://florabase.dec.wa.gov.au/browse/profile/225"	"Arundinella nepalensis Trin."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/226"	"Arundo donax L."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/227"	"Astrebla elymoides F.M.Bailey"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/228"	"Astrebla lappacea (Lindl.) Domin"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/229"	"Astrebla pectinata (Lindl.) Benth."	"Y"
